receptor,ligand_from,rmsd,affinity,status
4AUA,3NUP,2.629,-8.661,high_rmsd
4AUA,3NUX,1.027,-6.972,success
4AUA,4EZ5,2.727,-7.274,high_rmsd
4AUA,4TTH,,-0.02365,high_rmsd
4AUA,5L2I,0.904,-6.107,success
4AUA,5L2S,2.655,-9.66,high_rmsd
4AUA,5L2T,1.409,-8.198,success
4AUA,6OQL,2.171,-8.875,high_rmsd
4AUA,6OQO,1.981,-8.357,success
4AUA,8I0M,1.127,-4.461,success
4EZ5,1XO2,,0.0,high_rmsd
4EZ5,2EUF,,0.0,high_rmsd
4EZ5,2F2C,,0.0,high_rmsd
4EZ5,3NUP,2.025,-5.04,high_rmsd
4EZ5,3NUX,2.122,-6.147,high_rmsd
4EZ5,4AUA,1.084,-5.109,success
4EZ5,4TTH,,0.0,high_rmsd
4EZ5,5L2I,1.653,-6.36,success
4EZ5,5L2S,2.691,-6.411,high_rmsd
4EZ5,5L2T,0.367,-6.376,success
4EZ5,6OQL,1.804,-6.506,success
4EZ5,6OQO,1.165,-5.968,success
4EZ5,8I0M,1.093,0.0,success
4TTH,1XO2,,0.0,high_rmsd
4TTH,2EUF,,0.0,high_rmsd
4TTH,2F2C,,0.0,high_rmsd
4TTH,3NUP,1.907,-0.274,success
4TTH,3NUX,0.579,-0.9798,success
4TTH,4AUA,1.062,-0.8539,success
4TTH,4EZ5,1.943,0.0,success
4TTH,5L2I,1.116,-0.885,success
4TTH,5L2S,1.6,-0.04235,success
4TTH,5L2T,0.963,-0.2564,success
4TTH,6OQL,1.258,-0.2741,success
4TTH,6OQO,1.981,-0.09005,success
4TTH,8I0M,1.136,-5.558,success
5L2I,1XO2,,0.0,high_rmsd
5L2I,2EUF,,0.0,high_rmsd
5L2I,2F2C,,0.0,high_rmsd
5L2I,3NUP,1.645,-5.924,success
5L2I,3NUX,1.608,-9.49,success
5L2I,4AUA,1.165,-6.664,success
5L2I,4EZ5,3.207,-7.122,high_rmsd
5L2I,4TTH,,0.0,high_rmsd
5L2I,5L2S,2.119,-7.328,high_rmsd
5L2I,5L2T,1.17,-6.134,success
5L2I,6OQL,2.219,-7.519,high_rmsd
5L2I,6OQO,1.286,-7.071,success
5L2I,8I0M,1.093,0.0,success
5L2S,1XO2,,0.0,high_rmsd
5L2S,2EUF,,0.0,high_rmsd
5L2S,2F2C,,0.0,high_rmsd
5L2S,3NUP,2.542,-8.267,high_rmsd
5L2S,3NUX,1.295,-6.718,success
5L2S,4AUA,0.899,-7.352,success
5L2S,4EZ5,2.414,-7.096,high_rmsd
5L2S,4TTH,,-0.0232,high_rmsd
5L2S,5L2I,1.258,-6.758,success
5L2S,5L2T,0.136,-9.181,success
5L2S,6OQL,0.662,-10.41,success
5L2S,6OQO,0.821,-9.714,success
5L2S,8I0M,0.117,-4.314,success
5L2T,1XO2,,0.0,high_rmsd
5L2T,2EUF,,0.0,high_rmsd
5L2T,2F2C,,0.0,high_rmsd
5L2T,3NUP,2.643,-8.609,high_rmsd
5L2T,3NUX,1.421,-7.202,success
5L2T,4AUA,0.62,-7.454,success
5L2T,4EZ5,2.662,-7.123,high_rmsd
5L2T,4TTH,,-0.007343,high_rmsd
5L2T,5L2I,1.507,-6.816,success
5L2T,5L2S,1.423,-9.944,success
5L2T,6OQL,0.806,-9.67,success
5L2T,6OQO,1.227,-9.69,success
5L2T,8I0M,0.152,-4.578,success
6OQL,1XO2,,0.0,high_rmsd
6OQL,2EUF,,0.0,high_rmsd
6OQL,2F2C,,0.0,high_rmsd
6OQL,3NUP,0.88,-9.083,success
6OQL,3NUX,2.105,-6.964,high_rmsd
6OQL,4AUA,0.861,-7.784,success
6OQL,4EZ5,2.775,-7.234,high_rmsd
6OQL,4TTH,,-0.1562,high_rmsd
6OQL,5L2I,1.324,-6.264,success
6OQL,5L2S,1.396,-10.61,success
6OQL,5L2T,0.813,-8.955,success
6OQL,6OQO,0.959,-11.39,success
6OQL,8I0M,1.126,-4.421,success
6OQO,1XO2,,0.0,high_rmsd
6OQO,2EUF,,0.0,high_rmsd
6OQO,2F2C,,0.0,high_rmsd
6OQO,3NUP,0.925,-8.511,success
6OQO,3NUX,1.407,-7.145,success
6OQO,4AUA,0.858,-7.733,success
6OQO,4EZ5,2.374,-7.428,high_rmsd
6OQO,4TTH,,-0.006756,high_rmsd
6OQO,5L2I,1.54,-6.969,success
6OQO,5L2S,1.11,-10.09,success
6OQO,5L2T,0.854,-8.64,success
6OQO,6OQL,0.735,-11.71,success
6OQO,8I0M,0.144,-4.36,success
8I0M,1XO2,,0.0,high_rmsd
8I0M,2EUF,,0.0,high_rmsd
8I0M,2F2C,,0.0,high_rmsd
8I0M,3NUP,1.237,-4.316,success
8I0M,3NUX,1.011,-6.3,success
8I0M,4AUA,0.971,-4.477,success
8I0M,4EZ5,1.942,0.0,success
8I0M,4TTH,,-6.117,high_rmsd
8I0M,5L2I,1.053,-6.644,success
8I0M,5L2S,1.309,-5.507,success
8I0M,5L2T,1.556,-5.25,success
8I0M,6OQL,2.199,-5.918,high_rmsd
8I0M,6OQO,1.04,-5.651,success
1XO2,1XO2,,-10.22,high_rmsd
2EUF,2EUF,,-11.54,high_rmsd
2F2C,2F2C,,-8.271,high_rmsd
3NUP,3NUP,0.838,-8.307,success
3NUX,3NUX,2.439,-9.933,high_rmsd
4AUA,4AUA,0.888,-7.766,success
4EZ5,4EZ5,2.332,-11.52,high_rmsd
4TTH,4TTH,,-11.05,high_rmsd
5L2I,5L2I,0.473,-11.11,success
5L2S,5L2S,1.386,-11.14,success
5L2T,5L2T,0.088,-11.0,success
6OQL,6OQL,0.623,-12.22,success
6OQO,6OQO,0.27,-10.82,success
8I0M,8I0M,0.073,-9.616,success
